Word/Phrase,Description & Definition
a,"1, prop.art. See ā1."
a,"2, prop.art. See ‘a1."
a-,"3, -a-, morph. Form occurring in the first and third person singular possessives, neutralising the distinction between alien-able and inalienable possession marked by ā1 and ō1; used in informal situations where it would be inappropriate to state the nature of the relationship between possessor and possessed. (cf. taku, aku2, tana, ana3.)"
-a-,"4, morph. Pluralising element arising from lengthening of the stem vowel a in the nouns tāngata, men, tuā‘ine, sisters, vā‘ine, women."
-a,"5, morph. Marks the verb as passive. Stylistically, this suffix and its variants emphasise the verbal action, hence their frequent use in imperative sentences. (cf. 
-nga3, -ngia, -ia4, -kia4, -kina4, -mia, -na4, -ria2, -tia4.)"
‘a,"1, a2, ā2, prop.art. Used before names of people (and the interrogative proper noun ‘Ai? Who?), places, months, ships (here alternating with the common article te), and before any noun which is personified or treated as proper (e.g. Kua ‘aere mai ‘a Pāpā? has father come?); also before personal pronouns, but only when these follow the prepositions i, ki, or are used disjunctively (e.g. ‘A ‘ai? ‘A koe? Who? You?) but see ‘aia, he, she. ‘A occurs when the noun phrase is not preceded by a preposition; a and ā after the prepo-sitions i and ki (and usually written together with them as one word, see ia3, iā1, kia3, kiā); the selection of a or ā depends on the syllable structure of the following word: ā occurs before nouns and pronouns consisting of one syllable or two short syllables, a elsewhere. Tei te a‘a ‘a Pōtiki? what is Pōtiki doing?; kua tāmataora ‘a Ngāti Makea i te manu‘iri. the Makea clan entertained the visitors; kua ‘aere ‘a mea ki te tautai? has what’s his name gone fishing?; ka ‘apai ‘a Tūpapa i te rē. Tūpapa will win; ‘e ‘enua reva meitaki ‘a Mangaia. Mangaia has a good climate; ko Teko‘u tērā maunga, tērā ‘a ‘Ikurangi. that mountain is Teko‘u, that one is ‘Ikurangi; kua tere atu ‘a Māui (or te Māui) ki Mangaia. the Māui (ship’s name) has sailed for Mangaia; ‘e marama mānea ‘a Mē. May is a fine month."
‘a-,"2, morph. As in ‘aupe (droop) is perhaps a variant of ‘ā-8, q.v. ā1, a1, prep. 1. Marks alienable, active or controlling possession. Te tuatua ā te ariki, the words of the chief; te puaka ā tērā va‘ine, the pig belonging to that woman; ā Tere tamariki, Tere’s children; kāre ā te va‘ine ‘uipā‘anga i tēia rā. there was no women’s meeting today; ‘okota‘i ‘ua ā māua mokopuna. we have only one grandchild; kāre ā Kino mā ika i napō. Kino and the rest didn’t get any fish last night. 2. Marks the subject (actor) in a relative clause. Ko te ika ā te tangata ka ‘inangaro, ‘e mōrava. mōrava is the (kind of) fish that people like; ko te tika ā rātou i ‘akaoti, kua ‘akamana‘ia. the agreement which they concluded has been ratified; ko te pātikara tēia ā Tuna i ‘apai mai ei. this is the bicycle that Tuna brought along. 3. Along, over the surface of (before locative nouns and a few common nouns indicating position). E vāere koe ā te pae i te patu. you weed along beside the wall; kua oti i te pēni ā roto, ko ā va‘o te toe. it has been painted on the inside, there is still the outside to do; kua patua ā te pae i te mataara ki te toka. stone walls were built along the side of the road; ko ā te ‘ope tei ‘ati. it has broken off at the end; kua kapi ā mua i te ‘are i te repo. there was dirt all over the front of the house; ko ā ‘ea tēia ngā‘i? where is this place? 4. At, on (referring to future time). Kā tae mai ‘aia ā tēia rā. he will be arriving today; Ā te Ru‘irua e oti ei. it will be finished on Tuesday; E ‘aere mai koe ā teia nei. come along now; Ā tēia marama ki mua, next month. 5. Like, resembling, in the manner of (often used without a following article). Ā tō Puna rāi tērā ‘oro‘enua. that horse is quite like Puna’s; ā te reta V te tū, shaped like a letter V; kua tū ā nēneva ‘aia. he has been a fool or he has become like a fool; kā tū ā ‘ētene koe mē no‘o koe ki rotopū i tē reira ‘enua tangata. you will get into heathen ways if you live among the people of that country; kua ako ā tamariki ‘aia ia māua. he told us off as though we were children; kua ‘apaina ā tangata mate‘ia ‘aia ki va‘o. he was carried off like a dead man. ā2, prop.art. A conditioned variant of ‘a1, proper article, q.v. ā-3, morph. Meaning uncertain, but see āranga(ranga), ārangatū, ākere(kere). -ā4, morph. Meaning uncertain, but see ‘ave‘aveā, ngarungaruā, (kō)‘iri‘iriā, maromaroā, moemoeā, (‘aka)pā‘aruā, tuputupuā, (‘aka)vaiā. ‘ā1, v.i. Four, fourth, be four. ‘É rua ē te rua, kā ‘ā. two and two make four; ko te ‘ā tēia i tōna mata‘iti ki te ‘āpi‘i. this is her fourth year at school; kā ‘ā ōku mata‘iti. I‘m four years old now; ‘okota‘i nō roto i te ‘ā, one out of four; kua tu‘a taki ‘ā ‘aia i te ‘ānani. she gave out the oranges four at a time. [Pn. *faa1.] ‘ā2, v.i. Hoarse. Kua ‘ā tōna reo. he has lost his voice; kāre ‘aia ‘e meitaki i te tuatua i te ‘ā‘anga tōna reo. he won’t be able to talk properly while his voice is hoarse./he was unable to speak when his voice became hoarse. [Pn. *faa2.] ‘ā3, n. Leaf-stalk, including the main spine of the leaf (esp. of taro, banana, coconut), the fibrous material around the base of the coconut or banana leaf, bast. ‘Auraka e ‘ati‘ati i te ‘ā o tēnā pū kape! don’t break the stalks off the giant taro!; ta‘una tēnā putunga ‘ā nū! set fire to that pile of coconut midribs!; ko te ‘ā marō o te meika tā‘au e ‘ore‘ore. it is the dry fibre around the banana tree that you should strip off; tēia te ‘ā ‘ūtū ‘ei ma‘ani i te urupae i tō moenga. here is some plantain bast to make the border of your mat. [Pn. *fa‘a1.] ‘ā4, n. The letter A. E tātā i te reta ‘Ā. write the letter A. ‘ā5, interj. Often expresses satisfaction, including sudden comprehension and gloating. ‘Ā! nā‘au i ‘apai mai! ah! you’ve brought it!; ‘Ā! kua mou kōrua iāku! aha! I’ve caught the pair of you!; ‘Ā! kua kino koe!, aha! now you‘re for it! ‘ā6, bound root. Crack, split open. (See ‘ākapi(kapi), ‘āpiki, (‘aka)(nga‘a)nga‘ā, kō‘ā(‘ā), tā(nga‘a)nga‘ā.) ‘ā-7, morph. Attenuative or diminutive in meaning, rather, somewhat, -ish. ‘E pēni ‘āmuramura tē kā tano. a reddish paint would be suitable; kia ‘āmarū mai te matangi, when the wind eases off a little. Often used with the direction particles ake, mai, to form comparatives: kua ‘āngari mai tōna maki i tēia rā. he is a bit better today; ‘e ‘āmāmā ake te ‘oko i tēia punu ū. this tin of milk is a little cheaper; kua ‘āma‘ata mai te tangata i te pure i tēia pōpongi. there are a few more people at church this morning. (See ‘āangiangi, ‘āngari, ‘ā‘īkoke, ‘ākerekere, ‘ākō‘ina‘ina, ‘ākōtu‘utu‘u, ‘āmāmā, ‘ā(ma)ma‘ata, ‘āmā‘atama‘ata, ‘āmamao, ‘āmaru(maru), ‘āmarū, ‘āpakapaka, ‘āpiri(piri), ‘ārenga-(renga), ‘āre‘ure‘u, ‘āroeroe, ‘āteatea, ‘āto‘u(to‘u), ‘āupe(upe).) ‘ā-8, morph. Often causative in meaning, cf. inu to drink, ‘āinu to give sbdy a drink. (See ‘aka‘āvai, ‘ā‘ei, ‘āinu(inu), ‘āmama-(mama), ‘āmiri(miri), ‘ānape, ‘āoro(oro), ‘āpapa(papa), ‘ārī, ‘ātui(tui), ‘āupe(upe).)"
a‘a,", v.i., n. What? I a‘a ana kōtou? what were you doing?; ‘e a‘a tō‘ou teima‘a? what is your weight?; ‘e a‘a rā tō‘ou manako? what do you think then?; ‘e a‘a ‘oki tā‘au ka ‘inangaro? what else would you like?; ‘e a‘a koe? what is the matter with you?; ko ia te a‘a ka tāpapapapa‘ia ai? who does he reckon he is to keep people waiting?; ko Tere tōna ingoa. Ko Tere a‘a? his name is Tere. Tere who? ‘E a‘a...ei?, ‘e a‘a te mea...ei?, nō te a‘a...ei? what for?, why? ‘E a‘a koe i auē ei? what did you scream for?; ‘e a‘a te mea i kāpiki ei koe iāia? why did you call him?; kāre au i kite ē ‘e a‘a ‘aia i ‘aere mai ei i napō. I don’t know why he came last night; nō te a‘a tēnā rākau ka ‘apai mai ei koe? what are you going to bring that stick for? ‘E a‘a ia...! what a...! ‘E a‘a ia rā kino! what a filthy day!; ‘e a‘a ia te māniania! what a (dreadful) noise! ‘E a‘a ia ‘e koe! go on! you don’t say so! ‘E a‘a nei, I‘m not sure (reply to question). ‘E a‘a ‘oki, certainly, yes indeed (emphatic affirmative reply). Ka ‘aere koe ki te teata ākōnei? ‘E a‘a ‘oki. are you going to the cinema later on? Yes, certainly. ‘E a‘a rā! I don’t know! (impatient reply to an ‘e a‘a question). ‘E a‘a ‘aia i auē ei? ‘E a‘a rā! what is she crying for? how should I know! ‘E a‘a te a‘a!, a provocative or scornful response. Ka taia koe e au! ‘E a‘a te a‘a! I‘ll give you a thrashing! Oh yeah! ‘E a‘a mai, ‘e a‘a mai, anything at all, whatever there is. ‘Ei a‘a...(ei)? what...for? for what (future) purpose? ‘Ei a‘a koe kia kite? what do you want to know for?; ‘ei a‘a tēnā pi‘a? what are you going to do with that box? Nō te a‘a, but yes (affirmative reply to a negative question). Kāre koe ‘e ‘inangaro iāku? Nō te a‘a! don’t you love me? Yes, I do! [Pn. *hafa.] ‘ā‘ā1, (-‘ia). Grope, feel. E tāmata i te ‘ā‘ā i te vai mē tē verā ra. try and feel if the water is still hot; ‘e vera tōna rae i tōku ‘ā‘ā‘anga. his forehead feels hot to me; kua ‘ā‘ā‘ia tō rāua au pūtē pereue e te ‘akavā. their pockets were searched by the police; kua ‘ā‘ā te matapō i tōna ara ki te tokotoko. the blind man groped his way along with a cane. [Pn. *fao-fao.] ‘ā‘ā2, n. Moray eel. ‘E ‘ā‘ā ma‘ata tei roto i tēia ‘anga. there is a big moray eel in this trap. ‘Ā‘ā mangā, see ‘ā‘āmangā. ‘Ā‘ā rua, see ‘ā‘ārua. Tara ‘ā‘ā, to probe for moray eels (poking into crevices with a baited hook on the end of stick). Kāre au i tara ‘ā‘ā ana nō te anu. I didn’t go probing for moray eels, it was (too) cold. ‘Ā‘ā are described by their colour or markings as kerekere, kōpatapata, muramura, teatea. (See also māmaru, pata1, takiari, teatea, tū‘ua, va‘aroa.)"
‘a‘ae,", (‘a, -‘ia, ‘aea). Rip, tear (cloth, paper). Kua ‘a‘ae ‘aia i tōku pona. she tore my dress; kāre e rauka i ā ia i te ‘a‘ae i te kie nō te petetue. he cannot rip the canvas as it is too thick; ko te kapi mua tei ‘a‘ae‘ia. the first page has been torn out. [‘ae1 rR.] ‘ā‘āenga, nom. Shreds, pieces torn off. ‘Auraka ‘e tiritiri i te ‘ā‘āenga kāka‘u ki runga i te ta‘ua. don’t throw the scraps of cloth on to the floor. [‘āenga rR.] ‘ā‘āere, v.i. Stray, wander around, go for a stroll. Kua ‘akautunga‘ia ‘aia nō te ‘ā‘āere o tōna ‘oro‘enua nā te purūmu o te kātoatoa. he was fined when his horse strayed on to the public highway; tē ‘ā‘āere ‘uā ra rāua nā te pae tai. they were just strolling along by the sea; manu ‘ā‘āere. stray animals. [‘aere rR.]"
‘a‘angi,", (-a, -‘ia, ‘āngia). Waft, blow, drift, eddy (of air, wind, rain). Kua ‘a‘angi mai te matangi nā roto i te māramarama ē kua mate te mōrī. a gust of wind came in through the window and the lamp went out; kua ‘a‘angi mai te reva ‘aunga kino. foul-smelling air wafted up; ‘akatū‘era-‘era‘ia te māramarama kia ‘a‘angia te ‘are e te matangi. open up the windows so that the house can have an airing. [‘angi rR.] ‘āangiangi, v.i. Rather thin. ‘E ‘āangiangi ake tēia kāka‘u i tēnā. this material is a little thinner than that one. [‘ā-7, angi RR.]"
