Word/Phrase,Description & Definition
i,"1, v.part. Retrospective in force, usually translatable by an English past or perfect tense, or sometimes (esp. with statives) by a simple present. 1. In clause initial position, often in association with ana2 after the verb. I kite au iāia i te pō Varaire. I saw him on Friday night; I a‘a ana rātou? what have (or had) they been doing? 2. When the clause does not commence with the verb, i is normally used instead of kua (perfective aspect marker): (a) after kāre ‘not‘: Kāre rātou i kai i te ‘akari. they didn’t eat the coconut (cf. kua kai rātou i te ‘akari. they ate the coconut); Kāre au i pongi. I‘m not hungry, I haven’t got hungry (cf. kua pongi au. I‘m hungry, I’ve got hungry); (b) after nā + agent: Nā te tamaiti i ‘āngai i te puaka. the boy fed the pigs (cf. kua ‘āngai te tamaiti i te puaka. the boy fed the pigs); (c) in relative clauses: ‘e mōtokā tāna i ‘inangaro. it was a car that he wanted (cf. kua ‘inangaro ‘aia i tēta‘i mōtokā. he wanted a car); (d) when an adverbial of time, place or reason stands before the verb: Nō reira tika ai te mata‘iapo i ‘uipā ei inapō. that must be why the chiefs met last night. (See tei2; cf. e1.)"
i,"2, prep. 1. Marking the immediate goal (object) of a transitive verb. Kua paki te tamā‘ine i tōna mata ki te paura. the girl patted her face with the powder; Kua paki te tamā‘ine i te paura ki runga i tōna mata. the girl patted the powder onto her face; Kua ‘akakino te matangi i te ‘are. the wind damaged the house; Kua ‘akaoti ‘aia i te tātā i te reta. she stopped writing the letter; Kua mānakonako ‘aia i te ‘aere ki te ‘ura. he looked forward to going to the dance. 2. Marking the cause of the state or event which the subject experiences or is affected by. Kua kerekere te ‘are i te aua‘i. the house was black with smoke; Kua vare koe i tāna pikika‘a. you’ve been taken in by his lies; Kua nga‘ae iā koe tōku pona. you’ve torn my dress; ‘Auraka kia nga‘ā te karāti i te tamaiti. don’t let the child break the glass; Kua ta‘eroa au i te kai‘anga i te matū puaka. I was poisoned through eating pork fat; Kua mou au i te pū kāinga. I was caught by the owner of the property; Kua oti iāku te ‘anga‘anga. I’ve finished the work; mate i te kakī vai, die of thirst; kī i te repo, full of dirt; pue‘u i te ngaru, smashed by the waves; tū i te mamae, suffering from pain, experience pain. 3. Marking position: (a) at: Tē tū ra ‘aia i te pae katau o te purūmu. he was standing at the right-hand side of the road; (b) on: te niuniu i tāku kītā, the strings on my guitar; (c) in: ‘e tangata ma‘ata ‘aia i tēia taoni. he’s a big man in this town; (d) from (where the verb implies movement away from a place): kua matara te ‘oro-‘enua i te ngā‘i i tāpeka‘ia ai. the horse has got loose from where it was tethered; Kua ‘akarukena ‘aia i te ‘anga‘anga. he was sacked from work; E uuna ainei au nei ia Aberahama i taku e rave nei? shall I hide from Abraham that thing which I do? (Gen. 18.17). 4. Marking location in (usually past) time: (a) at: i taua ‘ati‘anga rāi, at that very moment; (b) on: i te taime ‘openga, on the last occasion, last time; (c) in: i te a‘ia‘i, in the evening; (d) when, while, as: I tōku ‘oki‘anga mai ki te kāinga. when (while, as) I was returning home; I te puakāoa e avaavā ra, tei roto te keiā i te ‘are. while the dog was barking, the thief was in the house. 5. Marking comparison: then: e ‘ō‘onu ake tēia ruāvai i tēnā. this well is deeper than that one; meangiti mai i te paunu. less than a pound, under a pound; Kāre ‘aia i pakari atu i tō tua‘ine. she isn’t older than your sister; Kāre te tāvini i ma‘ata i tōna pū. the servant is not greater than his lord (John 15.20). 6. According to, as. I tāna tuatua-‘anga, nā Tere ‘aia i moto. according to his account, it was Tere that hit him; Kua ‘akakore ‘oki au, i tā‘au i tuatua maī ra. I have indeed pardoned them, as you said (Num. 14.20). 7. In stating prices: for a, per. ‘ē rua tirīngi i te paunu, two shillings per pound, two shillings a pound; ‘Ē‘ia moni i te punu tāmanu?. how much is a tin of salmon?; ‘ē toru tirīngi i te mea ‘okota‘i, three shillings each. 8. Of. Te ‘ō‘onu i te tai, the depth of the sea; te ‘oko i tēnā piriaro tu‘epōro, the price of that jersey; te ma‘ata i, the size of; te ra‘i‘anga i, the sum total of. 9. After kāre, forming the negative of sentences beginning with ‘e. Kāre i te ‘are ma‘ata roa. it isn’t a very big house (cf. ‘e ‘are ma‘ata roa. it’s a very big house); Kāre i te tangata kai kava ‘a Tere. Tere isn’t a drinker (cf. ‘e tangata kai kava ‘a Tere. Tere is a drinker). (See ia3, iā1, iā2; iā‘ai, iāia, iāku.)"
-‘i,", loc.part. An orthographic contraction of ai2, q.v. ‘ī1, v.i. Spurt out in a jet, escape with a hiss. Kua ‘ī te toto i tōna rima i te motu‘anga te uaua. the blood spurted from his arm as the artery was severed; Kua ‘ī te pēnitīni ki va‘o i te puta‘anga te taramu. the petrol sprayed out when the drum was holed; I te ‘ī‘anga te matangi, kua kite ‘aia ē kua puta te kiri o te mōtokā. when the air hissed out, he saw that the tyre had been punctured. (See ‘i‘ī1, ‘ī‘ī1, kō‘ī, kō‘ī‘ī1.) [Pn. *sii2.] ‘ī2, (-a, -‘ia). Fish for or catch with a line (not with rod, cf. tākiri, nor trawling, cf. tāvere). E tuku mai koe iāku kia ‘aere kia ‘ī mai i tēta‘i ‘a‘ai, nō āpōpō. let me go and try and catch a tuna for tomorrow; Kua motumotu te a‘o i tō māua ‘ī‘anga i te nanue i napō. the lines broke when we were fishing for nanue last night; ‘E aronga ‘ī kōperu tērā i te ava. those people in the reef-channel are fishing for scad; Ka ‘apai au iā koe ā tēta‘i pō kia ‘āpi‘i au iā koe i te ‘ī mangā. I‘ll take you out one night and teach you how to catch barracuda; ‘E ‘ā‘ā tāku i kite ana i konei, i tōku manako kua ‘ī takere‘ia e Toma mā. I’ve seen a moray eel here before, I think Toma and his friends have already caught it. (See ‘ī‘ī2.) [Pn. *sii1.] ‘ī3, n. Name of the letter I. ‘ī4, exclam. Look! ‘Ā, tērā e ‘aere atū ra! look, there he goes!; ‘Ā, kia kite koe i tōku manuia! look, see how lucky I’ve been! ‘ī5, rt. *Protrude (?). (See ‘i‘ī2, ‘ī‘ī4.) ‘ī6, rt. *Encounter, get involved with (?). (See ‘i‘ī3, and ‘ī‘ī5.) ‘ī-7, morph. Meaning indeterminate. (See ‘īngore(ngore), ‘īkape(kape), ‘īkara(kara), ‘īkaro(karo), ‘īpana(pana), ‘īpeke(peke), ‘īrau(rau), ‘ītae(tae), ‘ītoe(toe), (‘aka)-‘ītoro(toro).)"
ia,"1, dem.pron. 1. Used as a third person singular personal pronoun: he, she: (a) written as one word with the proper article ‘a when the noun phrase is not preceded by a preposition (see ‘aia): kua ‘aere ‘aia ki ta‘atai. he/she has gone to the beach; (b) in the prepositional phrase i/ki + ā2 + ia, the whole complex being written as one word (see iāia, kiāia): i ‘ārāvei ana koe iāia? did you see him/her?; Ka tuatua au kiāia. I‘ll speak to him/her: (c) immediately after the prepositions e2, ko, ma, which are not followed by the proper article; ko and ia are commonly written as one word: ka ‘okona e ia te puaka. he’s going to sell off the pig; Nō tei ‘iki‘ia koia, kua ‘akapikika‘a maki ‘aia. because he was the one selected, he pretended to be sick; Kua ‘aere mātou, ma ia katoa. we went, and he/she came with us: (d) in possessive constructions (i.e. after ā1, ō1, a-; nā, nō; tō8, ta-), ia is replaced by -na3, see āna, ōna, ana3; nāna, nōna; tāna, tōna, tana. 2. (a) this (one), that (one), these, those, esp. the one(s) indicated, referred to, or being discussed: mē ko te tumu ia i mate ei te puakatoro, if that’s the reason the cow died (= mē koia te tumu ...); Ko te tangata matū ra, ko te pū ia. the fat man there, that one’s the boss; Kāre ia i te mea meitaki. it isn’t a good thing; Mē ‘e tangata piripou roa kerekere, ko au ia. if it was someone with black trousers, it was me; Koia ia. that’s the one (that’s it; that’s right); Ko te aronga i toe ra, kua taia ia ki te koke. and the remnant, (they) were slain with the sword (Rev. 19.21); (b) followed by a noun phrase in apposition: ko koe ia te tangata tei tōpāpā i te pā. so you were the person knocking on the door; ‘Ea‘a ia te māniania! what a noise!; ‘Ea‘a ia te pue‘u mē marō te mataara! how dusty it is when the road is dry! (c) pre-nominally, as a determiner: Mē motu ia taura, e tāmou ‘ei taura ‘ōu. if that rope breaks, fasten a new one on; Kua mate takere ia tangata. that person has been dead for some time; koia mou tāku e karanga atu kia kōtou nei, verily I say unto you (i.e. ko ia mou.., this truth) (Mark 10.29); ‘Ē 4,840 kuea iāti, ‘ē ta‘i ia ‘eka. Four thousand, eight hundred and forty square yards make one acre. (cf. tēia, ēia, ‘aia, koia; -na3.) [Pn. *ia1.]"
ia,"2, part. So, then, in that case, for that reason. Kāre ia ‘aia e ‘aere mai. so she won’t be coming, then; Ka ‘aere rā ia tāua. so let’s go, then; Mē kua rave ‘aia i te kino, nā kōtou ia ‘aia e ‘akavā. if he has committed a crime, then you must judge him; Kāre ia i tika taua tuatuā ra. so the story isn’t true, then."
ia,"3, iā, prep. See ‘a1 for the distribution of ia and iā. Mē kite koe ia Tangaroa, karanga‘ia atu kia ‘aere mai. if you see Tangaroa, tell him to come; Kāre iāku, tei ia rātou. I haven’t got it, they have; Kāre ia mātou, tei iā Mi‘i. it’s not with us, Mi‘i has it; Mei iā Patu rāi tērā tamaiti. that boy looks quite like Patu; ko‘ai ia kōtou? which of you? (Note: after mei1, tei1, and ‘ei2, the first element of ia and iā is redundant.) [i2 + a2, ā2.]"
-ia,"4, v.suffix. (See -a1.)"
‘ia,"1, v.i. How many?, how much? Kā ‘ia pūtē kōpara i kī i teianei? Kā rima nga‘uru. how many sacks of copra have been filled now? Fifty; Kā ‘ia ēnā? Kā ‘ia rā. how many are there? I‘m not sure how many; Ko te ‘ia taime tēia i tōku ‘aere-‘anga mai ē kāre rāi i oti. goodness knows how many times I’ve come here, and still it isn’t finished; Mē kā taki ‘ia. I don’t know how many each there‘ll be; ‘Ē ‘ia ā‘au tamariki? how many children do you have?; ‘Ē ‘ia ā Pāpā moni? ‘Ē ‘itu paunu. how much money does Father have? Seven pounds; ‘E rā ‘ia tēia? what date is it today?; ‘E rā ‘ia i nana‘i? what date was it yesterday? N.B. ‘ia is some-times written together with the preceding word, esp. ‘ē5: ‘Ē‘ia tangata tei tae mai? ‘Ē ‘ia ‘ua. how many people came? Only a few. (See ‘ē‘ia.) [Pn. *fiha.]"
‘ia-,"2, rt. *Desire (Ait. dial., cf. Rar. kakī): ‘iakai, hunger; ‘iamoe, sleepy; ‘iavai, thirst. [Pn. *fia.]"
-‘ia,"3, pass. clitic. This form is phrasally bound and forms an immediate constituent with all the material preceding it in the verbal phrase, unlike the passive suffixes (see -a5 for list) which are bound to the verb. It often carries a completive sense. It may replace one of the -a5 suffixes or immediately follow it. Adverbials (includ-ing adverbial particles) may intervene between the verb and -‘ia, and so may 
-‘anga4 (1); In this case, if the verb is suffixed by one of the -a5 group, then -‘ia must also be used, either after the last of the adverbials or after -‘anga. N.B. When -‘ia does not immediately follow the verb, it is sometimes written separately, but in this dictionary it is affixed to the pre-ceding word. 1. Used with transitive verbs or verbs of action to form passives or imperatives: (a) kua kainga‘ia te taro e te puaka. the pig has eaten up the taro; Tipi‘ia te tītā or tipia‘ia te tītā. cut the undergrowth back; Kua tīpū‘ia tāku ‘oro‘anga. my case has been dismissed; Kua ‘ingā‘ia ‘aia e te poupou. the post fell over onto him (cf. kua ‘inga te poupou ki runga iāia); (b) after adverb-ials: kua kāpiki ma‘ata‘ia ‘aia kia ‘oki mai kia tiki i te pēpa. (they) called out to him to come back and get the note; Kua ‘apai vave‘ia ‘aia ki te ‘are maki. he was taken to hospital immediately; Kua ‘aka‘oro vīviki‘ia te ‘oro‘enua. the horse has been ridden fast; Kua pāpāia rava‘ia ‘aia. he was given a good thrashing; Kōia ‘ō‘onu‘ia te va‘arua. dig the pit deep; E rave ke takiri ravaia e au te au mea katoa. I will utterly consume all things (Zeph. 1.2); (c) after -‘anga: kua riri ‘aia i te tuatua‘anga‘ia ‘aia e te tamariki. he was annoyed at being discussed by the chil-dren; (d) used adjectivally in participial phrases: ‘e tangata ‘inangaro‘ia ‘aia e te tamariki. he is a man (well) liked by the children (cf. kua ‘inangaro‘ia te tangata e te tamariki. the man was (well) liked by the children). 2. After verbs describing states and conditions: kua ‘ina‘ina‘ia tōku katu. my hair has gone grey (cf. kua ‘ina‘ina tōku katu. my hair is grey); Kua mataku ‘aia i te ‘ākara ki raro ko te ānini‘ia ‘aia. he was scared to look down in case he got dizzy; Kia akaia kotou, e kia akatumuia i te inangaro. be ye rooted and grounded in love (Eph. 3.17). Kāre rava tēta‘i tangata e rua‘ineia i roto i to‘oū ra ngutu‘are. no one shall ever achieve old age in your household (1 Sam. 2.32). 3. After nouns, in the sense having or affected by (like Eng. -ed) cf. pē‘au wing, pē‘au‘ia winged: ko tei pē‘au‘ia, e tei poā‘ia, kā kai ia kōtou. all that have fins and scales shall ye eat (Deut. 14.9); tei maki‘ia, e tei paka‘ia, e tei ‘une‘ia, those that are diseased, or scabbed, or have sores (Lev. 22.22.)"
