Word/Phrase,Description & Definition
ka,"1, kā1, v.part. Marks inceptive aspect. 1. Refers prospectively to the commence-ment of an action or state. Often trans-latable by an English future tense or ‘going to’ construction. Ka ‘aere au ki te ‘āpi‘i āpōpō. I‘m going to go to school tomorrow; Ka ‘ī mene ‘a Mere ākonei i te pō. Mary is going to sing later on tonight; ko te ‘ānani tē ka ‘inangaro mua‘ia. the oranges will be needed first; kua kite au ē kā riri ‘a Tere. I know (or knew) that Tere will (or would) be angry; ka ‘ārote au i nana‘i, nō te ua rā, kua ‘akakore au. I was going to do the ploughing yesterday, but gave it up because of the rain; i nana‘i, iāku ka ‘aere ei ki runga, kua kite au iāia. yesterday, just as I was about to go up (the road), I caught sight of him; i teia au marama i topa ake nei, mē mā‘ara‘ara ‘aia i tōna ‘enua ‘ānau, ka auē ‘aia. these last months, whenever he remembered his native land, he’d start to cry. 2. Used as an imperative (more peremptory than e1). Ka ‘apai atu koe i teia pēpa. you take this paper away; kā tiki te kana. fetch the grater; ka tuatua māori tāua. let’s speak Maori. 3. used before numerals (and the numeral interrogative ‘ia) when reckoning up. Kā rima ā mātou tupa. that‘ll be five crabs we’ve caught now; kā ‘ia pūtē kōpara i kī  i teianei? Kā rima nga‘uru. how many bags of copra are filled now? fifty; kā ta‘i ‘epetoma i teianei, kāre ake rāi i pu‘era ake te mata o te punua kiorengiāo. that‘ll be a week now, and the kittens’ eyes aren’t open yet; kāre ‘aia i kaikai kā toru rā. she hasn’t eaten for three days now; kā ta‘i, kā rua, kā toru, e ‘oro! one, two, three, go!; ‘ī  toru taime i te toru kā iva. three times three makes nine. N.B. The form kā occurs before words consisting of one long or two short syllables, ka elsewhere (see also kāre, kā‘ore). [Pn. *ka.]"
ka-,"2, pref. (See karapa, karava.) kā2, v.i., n. Burn, shine; flame, glow. E tāmate koe i te a‘i kia kore e kā te ‘are. put the fire out so the house won’t catch fire; kua kā te mōrī . the lamp is lit; kāre e kā tēnā rākau nō te mata. that wood is too green to burn; kua kā aua‘i ‘ua te va‘ie. the damp firewood merely smouldered; te ‘aunga ‘apinga kā, the smell of something burning; kua kite mātou i te a‘i kā i roto i te ‘are o kōtou. we saw a light burning in your house; kua ‘akameangiti te kā o te mōrī . the flame of the lantern went down; kua tāpū ‘aia i tōna mōtokā i te kā‘anga mai te a‘i muramura. he stopped his car when the red light showed. (See tārotokakā.) [Pn. *kaha.] kā-3, pref. (See kā‘iro, kā‘iro‘iro, kāivi(ivi), kākapu, kākave, kākina (cf. kōkina), kāmuta1, kāmutamuta (cf. kātamutamu), kāoko(oko), kāpiti, kāpipiti, kāpitipiti, kāvaru, kāviri.) -kā4, suff. Attached to words describing states or conditions. Very, extremely, or (often) excessively. (See meangitikā, roroākā, teateākā, venekā. N.B. -kā causes lengthening of a final short -a of the preceding root, cf. vene, venekā, but roroa, roroākā, cf. -ā5.)"
ka‘a,"1, n. The strong fibre of the coconut husk, coir, sennit. Kua pāpā mātou i te puru kia rauka ma i te ka‘a. we beat the coconut husks to get the fibre; kua ‘iri te tangata i te taura ka‘a nō te ‘are. people are plaiting sennit for the (lashings in the) house; te toru o te ka‘a, the third course (or band) of sennit lashing. (See tāka‘a, (tā-)tuika‘a.) [Pn. *kafa1.]"
ka‘a,"2, n. Name of a fish resembling the kanae (grey mullet), but yellowish with black side fins. Kua rauka te ka‘a a te aronga ravākai. the fishermen got a lot of ka‘a; kua tā‘ei mātou i te na‘o ka‘a ki te kupenga roa. we caught a shoal of ka‘a with the long-net. [Pn. *kafa3.]"
ka‘a-,"3, bound root (?). (See ka‘atea.)"
-ka‘a,"4, see pikika‘a, deceive. kā‘ara, n. Sharkskin drum, made from a three-foot section of tree-trunk, top third hollowed out and covered with tympanum of shark or cowskin. A small circular sounding-slot is cut in one side. Kua reka te tangi o te kā‘ara. the kā‘ara has a lovely sound; kua rutu ‘aia i te kā‘ara ma te ‘ura. he beat the kā‘ara and danced; kua mataku te tangata i te tangi‘anga o te kā‘ara i runga i te marae i te tūruā‘ipō. the people were scared by the noise of the kā‘ara (and the shouting of the spirits) on the marae in the dead of night."
ka‘atea,", v.i. Show up greyish white. Tē ka‘atea ‘uā ra te upe i runga i te matie i te pōpongi‘anga ake. the dew was showing whitish on the grass the morning after; tērā mea ka‘atea, that whitish object; kua ka‘atea te rauru o taua va‘inē ra. the woman’s hair is greying. [ka‘a-3, tea.]"
kanga,", (-‘ia). Play (as children do), lark about, play tricks, meddle or tamper with, ill-treat, misuse, spoil; damage, mischief. Kua kanga ‘a Rangi i ta‘atai ē kua motu tōna vaevae i te anga mō‘ina. Rangi has been playing on the beach and cut her foot on a piece of glass; i tō te tamariki kanga‘anga i roto i te ‘are, kua nga‘ā te i‘o o te kāparāta. the boys broke the glass in the wardrobe when they were larking about inside the house; kua kanga‘ia te tamariki ‘āpi‘i e te pū‘āpi‘i. the teacher had fun with the children; tēia te kanga meitaki nā kōtou, kāre e kino te kōpapa. this is a good game for you, you won’t hurt yourselves. ‘Apinga kanga, play-thing, toy. E ‘apai mai kōtou i tā kōtou ‘apinga kanga ki runga i te ta‘ua. bring your toys down here on the floor; ‘auraka e kanga ‘ua kiāia, ‘e tangata roto riri. don’t fool around with him, he’s got a quick temper; nā‘ai i kanga i te ro‘i? who has messed up the bed?; ‘auraka e ‘akarukeruke i tō kōtou pātikara ki te pae ara, ka kangā‘ia. don’t leave your bikes by the side of the road, they‘ll be tampered with; kua pupu‘i ‘aia i te puaka nō te kanga i te one kai. he shot the pig for wrecking his allotment; kua rave kanga ‘aia i te ma‘ani‘anga i tō mātou mōtokā. he made a botch of repairing our car. [Ce. *ka""a.]"
kangakanga,", (-‘ia), fq. (and usually dim.) kanga. Play, (have) sport (with), misuse. Kua kangakanga te tamaiti i te pōro. the children played with the ball; kua kangakanga te metua ē tāna tamariki. father and children played together; kua piri te tamariki kiāia nō te kangakanga iāia. the children went around with him because he was such good fun; kua ‘aere te puakāoa ki roto i te ‘are ē kua kangakanga i te ‘apinga tautau ‘aere. the dog went inside the house and messed up the curtains and things. Puakāoa kangakanga, toy dog. Pī tara kanga-kanga, toy pistol. Teata kangakanga, comic film. Ko te teata kangakanga tei ‘akaāri‘ia nā mua. the comedy was shown first. [kanga RR.] kānguē, n. Gangway. Kua kake te au pātete nā runga i te kānguē. the passen-gers went up the gangway. [Eng. gang-way.] kāngukurū, n. Kangaroo. [Eng. kanga-roo.]"
kai,"1, (-nga, -‘ia (rare)). 1. (a) Eat, con-sume liquor and many beverages (but not water, cf. inu); smoke (tobacco). Kua kai au i te ‘ānani. I’ve eaten the orange; kua kainga te meika para e te moa. the chickens have eaten up the ripe bananas; kā kai‘ia ‘a Iēzebēla e te puaka āoa. the dogs shall eat Jezebel (1 Kings 21.23); ‘auraka e kai mata i te vī . don’t eat mangoes while they are green; tēia te merēni kainga‘ia e te kioretoka. these are the melons the rats have been eating; ‘auraka koe e pa‘upa‘u tuatua mai, kā kai koe i taku puku rima. don’t you answer back, you‘ll get a taste of my fist. Kai ‘āngā, eat forbidden food. Kua tamaki‘ia ‘aia nō te kai ‘āngā. he was scolded for eating forbidden food; kua kai kava ‘a Tere. Tere has had some liquor; kāre au e kai i te ‘ava‘ava tāviri, ‘e pu‘ipu‘i tāku ka kai. I don’t smoke cigarette tobacco, I‘ll smoke my pipe. kapu kai tī , a teacup. E ‘ōrei koe i te kapu kai tī , wash the teacups. (b) Capture (a piece). Kā kai ‘aia i tāku toka mē tuku au ki roto i teia pi‘a. he‘ll take my piece if I put it on this square. (c) Commit to memory (traditions and genealogies). Kua kai te tamaiti i te kōrero a tōna metua tāne. the son learned the old lore from his father. (d) Bite at or on (ki), rub against, cut into (of certain edged tools, e.g. plane, ploughshare), erode, eat away (of rust or a corrosive), corrode. Kua kai te ‘ā‘ā ki runga i te matau. the eel took the hook; kua kai te kiri o te pātikara ki runga i te kōkai. the bicycle tyre rubbed against the fork; kua kai pāpākita‘i tā‘au a‘u. your plane cuts on one side (of the blade) only; kua kainga tōku rima e te ngaika. the lime has burned my hands; kua kai te poa ki roto i te ‘āuri. the rust has eaten into the iron. 2. v.i. Ready to eat (of honey). Kua kai te rango. the honey is ready to eat (cf. kua vā‘i te rango). 3. n. Food, food crops, produce. ‘E ‘apinga tika ai te kai! What a lot of food!; kua ‘apai mai te va‘ine-tini i te kai nā mātou. the women’s guild have brought us food; kua rere te ngōia nā te moana i te kimi kai. the noddy flew over the sea seeking food; e ‘apai ana tātou i tā tātou au kai ki te mākete. we take our crops to the market; kua ngaro tā mātou kai i te ngāngā‘ere. our crops are full of weed. Kai tanu, planted crops. Kia tae ki te Tāpati Pure Mou kua ‘akaputuputu mai te tangata i tā rātou kai tanu nō te ‘akameitaki‘anga i te ‘Atu o te mou. when Harvest Festival came around people all brought their crops to give thanks to the God of harvest. ‘Āua kai tanu, vegetable garden. Kai tumu, staple food. Ko te varaoa e te ‘akari tā rātou kai tumu. bread and coconuts are their staple diet. Kai o te aroaro, shewbread (Neh. 9.33). Kai vā‘ine, name given to the second series of casts made with new net after the ceremonial feast has been held. Kua rauka te ika i te kave‘anga te kai vā‘ine o te kupenga. many fish were caught when the second series of casts was performed with the(new) net. ‘Are kai, restaurant. Kua ‘aere mātou ki roto i te ‘are kai. we went into the restaurant. One kai, plantation or allotment where food crops are grown. ‘E one kai ma‘ata tā mātou. we’ve got a big allotment. (See kaingākai, kaikai, kaiū, kakai, kōkai, Ma‘anākai, (tā)umukai, umutarakai; cf. kai-3.) [Pn. *kai1.]"
