Word/Phrase,Description & Definition
pa-,", pā-8, pref. Fossilised prefix of undetermined meaning found in the following words. (See (‘aka-,tā-)pā‘eke-(‘eke); (‘aka,tā-)pākiko(kiko); (‘aka)-pa‘ore; (‘aka-,tā-)para‘a; (‘aka-,tā-)-patere.) pā1, 1. (paia). Hit, beat, strike, slash, spring up (of the wind). Kua pā ‘a Tiare i te pōro ki va‘o i te kena. Tiare hit the ball over the boundary; kua paia te pōro ki roto i te tai. the ball was hit into the sea; nā‘ai koe i pā? who hit you?; ko ‘ai tā‘au i pā ei? who did you hit?; kua topa mai te nītā ē kua pā ki runga i tōku katu. a pawpaw dropped and hit me on the head; kua paia tōku mata. I got hit in the eye; kua paia te ‘oro‘enua ki te rākau e Tome. Tome beat the horse with a stick; paia ki te rākau. hit it with the stick; ka ‘aere rāua kā pā kiekie ‘ei ma‘ani ‘īnaki. they are going to cut lianas to make eel-traps; kua topa mātou ki te moana i pā mai ei taua matangī ra. we were right out at sea when the wind struck. 2. (paia, pāria), v.i. Get hit, beaten, buffeted (by wind), affected by disease. Kua pā tōna mata i tōku pē‘i‘anga i te rākau. he got hit in the eye when I threw the stick; kua auē ‘aia i tōna pā‘anga‘ia e te toka. he howled when he got hit by a stone; kua pā tō mātou ‘ōire i te matangi pakari ē kua ‘inga tēta‘i au ‘are. our village was struck by a gale and several houses collapsed; ‘Auraka koe e ‘akapiri mai kiāku, kā pā koe i te ‘ōni‘o. don’t come close to me, you‘ll catch chickenpox; kua pā tāku tōmati i te maki. my tomatoes have got the blight; kua pāria tōku ‘oro‘enua e te maki. my horse has caught the disease. 3. n. Bat. Te pā ē te pōro, bat and ball. 4. n. Batting innings. Nā kōtou te pā, nā mātou te kapo. you bat, we‘ll field; nā kōrua e ‘akamata i te pā. you two open the batting; ‘Akaoti i te pā, to close the innings. [Pn. *paa2.] pā2, (-ria). Give possession, lend, hand over, grant the use of. Kā pā koe i tō pātikara kia Kautā? will you lend Kautā your bike?; kāre ‘aia i pā mai. he wouldn’t let me have it; kāre e pāria mai te ‘oro‘enua e Tuna nō tei pakiko te umauma. Tuna won’t lend his horse because its chest is chafed; kua rekareka ‘aia i te pāria‘anga mai tēta‘i moni nāna. he was pleased when he was allowed to have some money; i tōku manako, ka pāria mai mē ‘aere au i te pati. I think it will be given if I go and ask. pā3, 1. n. Row, line, column. I tanu au i teia pā rākau ‘ei pāruru i te matangi. I planted this row of trees as a windbreak; e tatau koe i te kātoatoa‘anga o te tamariki i teia pā. count the number of children in this row; e ‘akaputuputu kōtou i teia pā nūmero. add up this column of figures. Pā ‘are, line of houses. Pā ‘enua, (i) line or group of islands. Kua tupu te ‘uri‘ia ki te pā ‘enua tokerau. a hurricane occurred in the Northern Group. (ii) overseas, foreign parts. Kua ‘oki mai rāua mei te pā ‘enua mai. they have returned from overseas. Pā maunga, range of mountains. Kua ‘oro‘oro ‘aere te au puakani‘o nā runga i te au pā maunga. the goats went running along the mountain ranges. Pā reo, keyboard of piano, etc. 2. n. Door, gate. Vā‘ia atu te pā kia ‘aere atu māua ki roto. open the gates so that we can go in; tēta‘i ‘īnere pā, a door hinge; ka tuku oki koe i te pa i te pae o te araka. and you shall put a door in the side of the ark (Gen. 6.16). 3. n. Dam, fish-weir. Kua papare rātou i te ‘ature ki roto i te pā ē kua tā‘ei ki te ‘ōpai. they drove the mackerel into the fish-weir and caught them in the ‘ōpai net; tei te a‘u pā ‘a ‘Ērani mā; Erani and the others are build-ing a fish-weir. 4. (-‘ia). Place in a row or line, edge (a path, with stones). E pā koe i te toka takapini i te ‘āua tiare. put a row of stones around the flowerbed; pā‘ia ki te toka. edge it with stones; kua ‘akanu-kanuka ‘aia i te mataara ma te pā ‘aere i te toka ki ngā pae. he made steps in the path, edging both sides of it with stones. [Pn. *paa1.] pā4, v.i. Barren (of women), unable, or too old, to bear children. Kua pā tāna va‘ine i muri ake i te rua o tā rāua tamariki. his wife was barren after their second child; nō te mea, ‘e pā tāna va‘ine, kua ‘aere rāua ki te taote kua kimi rāvenga kia tū rāua i te tamariki. because his wife was childless they went to the doctor to see if there was any way in which they might have children. [Pn. *pa‘a.] pā5, n. Bowl, basin, tub (of tin or enamel). E riringi koe i te vai vera ki roto i te pā ka ‘ōrei ei i te au kapu. pour hot water into the bowl when you wash the cups; e ‘akapapa meitaki koe i tērā putungā pā ki raro ake i te ngā‘i ‘oko‘anga. stack that pile of bowls away neatly under the counter. Pā pā‘ī, washbasin, bathtub. E ‘akakī koe i te pā pā‘ē ki te vai vera. fill the basin with hot water. Pā tunu varaoa, baking-tin, baking-tray. Kua pōpō ‘aia i te varāoa ē kua tuku ki roto i te pā. she kneaded the dough and put it in the baking-tin; ‘Ē ‘ā ēnā pā varāoa. there are four batch-trays of bread there. [Pn. *paa4]. pā6, n. Father (voc.), mister (Mang. dial.). (cf. pāpā3.) pā-7, pref. Fossilised prefix or prefixes of undetermined meaning. (See pā‘aruā, pā‘ata(‘ata), pā‘ere(‘ere), pā‘eru, (‘aka)-pā‘eta‘eta, (‘aka-, tā-)pā‘ī(‘ī), pāina(ina), pākare(kare), pākati(kati), pākenu, (‘aka)-pāketa(keta), pākiri(kiri), pākoko, pāoko-(oko), pā‘ore(‘ore), pāoro(oro), pāraku-(raku), pārara(rara), pārena, pāruru, pātangitangi, (‘aka-, tā-) pātaratara, pā tē(tē), pātere(tere) pātetea, pātia1(tia), pātore(tore), (‘aka-)pātū(tū), tūpā‘oro-‘oro.) pā-8, var. pa-, q.v. pā-9, see pātangaroa, Long-tailed Cuckoo. -pā10, see aupā, a kind of fish."
pa‘a,"1, n. Metal hoop round a barrel, rim of a cartwheel, runner (of sledge). E kiriti koe i te pa‘a o te paero. take the hoop off the barrel; e tāmou koe ‘ei pa‘a ‘ōu ki runga i te uira pere‘ō. you must fix a new rim on the wagon-wheel."
pa‘a,"2, mod.part. Perhaps, I dare say. Kāre pa‘a au e ‘oki mai ki te kāinga kaikai ei. maybe I won’t be coming back home for the meal tonight; E ‘aere pa‘a koe e rama ākonei kia tunu au i te varaoa. maybe you could go fishing tonight while I‘m baking the bread; Ka ‘aere mai koe ki te ‘ura? ‘Āe pa‘a. are you coming to the dance? I dare say (or) perhaps yes; tēia tēta‘i parangikete nō‘ou, kā anu pa‘a tēia pō. here is another blanket for you, it could be cold tonight. [Ce. *pafa < Ep. *pe-afa.]"
-pa‘a,"3, rt, see pa‘apa‘a."
pa‘akiumu,", pā‘akiumu, pakiumu, n. The immediate surroundings of the Maori earth-oven. E tāmā kōtou i te pa‘akiumu. tidy up around the oven; moe uaorai kotou ki raro i te pae pakiumu, though you lie down next to the oven (Ps. 68.13); kua kerekere to matou pakiri mei te paaki umu. our skins were as black as the area round the oven (Lam. 5.10). pa‘apa‘a. Praise, glorify, boast. Te tiaki marie ra te paapaa ia koe, e te atua, i Ziona. Praise awaits you, oh God, in Zion (Ps. 65.1); e manganui tei paapaa i te kopapa nei, e paapaa katoa oki au. and there are many that glorify the flesh and I do so too (2 Cor.11.18). pā‘ara, (-‘ia). Slice off (esp. fat or flesh from a carcase). E pā‘ara koe i tēta‘i tua i te ‘a‘ai kia tāmitia. slice the flesh off one side of the tuna for salting down; kua oti iāku i te pā‘ara i te matū o te puaka ‘ei tunu ‘inu. I’ve cut off the pig’s fat to boil down for dripping. [Ck. *paa-fara.] pā‘aruā, v.i. Careless, negligent, slapdash. Kua ‘akaruke‘ia ‘aia i te ‘anga‘anga nō te pā‘aruā. he was dismissed for negligence; ‘E tangata pā‘aruā koe i te rave i tā‘au ‘anga‘anga. you are careless about your work. pā‘ata, 1. n. Raised framework or staging, gridiron, shelf, rack, scaffolding, litter. Tē ma‘ani pā‘ata nei māua ‘ei rūrū i te ‘ua tīnapi. we are making some staging to sew the Chinese cabbage seeds on; Kua ‘o‘ora mātou i te ‘akari ki runga i te pā‘ata ē kua vai‘o ki va‘o i te rā ē marō ‘ua atu te ‘akari. we spread the coconut out on the staging and left it out in the sun to let the copra dry out; kua kanga ‘aere te tamariki nā runga i te pā‘ata i tō rātou pā‘ī tai‘anga. the children played around on the bathing platform when they went swimming; e ‘akapapa koe i te kapu marō ki runga i te pā‘ata. put the dry cups up on the shelf; kua ‘apai rātou i tō rātou ariki nā runga i te pā‘ata ki te marae. they carried their high chief to the marae on a litter; kua ‘akavaitata atura aia, rave atura i taua paata tupapaku ra. and then he drew near and touched the bier (Luke 7.14). 2. (-‘ia). To place sthg on a raised framework etc., to place sthg on supports so as to make a pā‘ata. Kua pā‘ata ‘aia i te ika ki te ‘ā nū i tōna tunutunu‘anga. he cooked his fish on a grill made from the spine of a coconut leaf; kua pā‘ata‘ia te rākau ki runga ake i te taramu ‘ei ngā‘i tauraki‘anga kōpara. he laid sticks across the top of the drums as a staging to dry the copra on; kua ‘inga‘inga te poupou i tōku pā‘ata‘anga i te rākau ki runga, nō te mea kāre i piri meitaki. the posts collapsed when I laid the planks across on top because they weren’t firm enough. [pā-7, cf. pā3, ‘ata1.] pā‘ata‘ata, (-‘ia), fq. pā‘ata. Make staging, scaffolding, grill etc. out of sthg. I tōna pā‘ata‘ata‘anga i te rākau ki runga ake i te a‘i, kua tari mai ‘aia i te maito ē kua tukutuku ki runga. when he had made a griddle of sticks over the fire he fetched the surgeonfish and laid them on top. [pā‘ata1 Rr.]"
pae,"1, 1. (-a), v.i. Drift, float. Kua pae te vaka ki te moana. the canoe drifted out to sea; tērā te vaka ō‘ou e pae atū ra, kua motu te taura. that’s your canoe drifting away, the rope has broken; tē pae ‘uā ra taua ‘onū ra i runga i te kiriātai. the turtle was just floating on the surface; kua pae te tītā ki runga i te one. the rubbish floated onto the beach; kua paea taku putunga ‘akari e te vai. my heap of coconuts has been washed away by the flood. 2. (-a). Set a fish-trap, esp. the ‘anga or ‘īnaki types. Ka ‘aere au kā pae i taku ‘anga. I‘m going to go and set my fish-trap; Kua paea‘ia e māua te ‘anga ā‘au ki tērā pā kāoa. we have placed your trap at that group of coral rocks. (See ‘akapae1, cf. pāe2-3.) [Pn. *pae3.]"
pae,"2, 1. n. Side (that part which flanks, borders, edges). E no‘o mai rā koe ki taku pae kia papa atu au i tō‘ou tupu‘anga. come and sit by my side and let me recite your genealogy; ki tēta‘i pae i te kauvaī ra, to the other side of the river. te pae kauī, the left side. te pae katau, the right side. Te pae rangi, the horizon. Kua ‘opu te marama ki raro i te pae rangi. the moon has set. Te pae tai, the sea-shore. Te pae vai, side of freshwater stream, lake. I (ki) te pae, beside. I tuku au i tō pēni ki te pae i te mō‘ina ‘inika. I put your pen down beside the ink bottle. Te pae ki raro, lower or leeward side. I tōku kite atu‘anga i te toka i mua, kua kāpiki atu au i te rangatira kia tuku i te poti ki te pae ki raro. when I saw the rock ahead I shouted to the helmsman to let the boat go to leeward of it. Te pae i (ki) runga, the upper or windward side. Te pae i (ki) tai, the seaward side. Te pae i (ki) uta, the landward side. 2. n. Part. E ‘anga‘anga koe i tā‘au pae kia oti ē vai‘o kia rave ‘aia i tāna pae. you get your part of the work done and let him get on with his; E ‘apai koe i teia pae i te ika nā tō‘ou taeake. take this share of the fish for your friend. Tēta‘i pae, some. E utauta kōtou i tēta‘i pae koro, nāku e ‘akapou atu. you carry some of the stakes, I‘ll carry the rest; Kua tūpākū‘ia te au ‘apinga ē kua ngaro tēta‘i pae. the things in stock were checked and some were missing. Tēta‘i pae tangata, some of the people. Te pae kē, different sides, different factions. Te vaira oki te vare‘ae, e te taumāro, te pae ke, i roto ia kotou na. also there exist jealousy, dispute and factiousness among you (1 Cor.3.3). Te pae ‘openga, The eleventh hour, the last minute. Kua tae mai te tauturu i te pae ‘openga. help came at the eleventh hour. 2. (-a), n. Plait a border design, border design. Kua pae taku māmā i tāna moenga ki te ‘ā ‘ūtū ē te nono. my mother plaited the border of her mat with plantain and Morinda bast; ‘e mānea te pae o teia moenga. the design round the border of this mat is beautiful. (See ‘akapae(pae), kōpae, paepae, paevai, tāpae(pae), tūpae, urupae.) [Pn. *pae1.]"
pae,"3, v.i. In pae ‘ua, famish(ed). Kāre te vaerua o te aronga tuatua-tika e paeua ia Iehova. Jehovah will not let the souls of the righteous famish (Prov.10.3); ‘e pupu tangata pae ‘ua tērā, kāre i kaikai ake. Those people are famished, they haven’t eaten yet; kia vave mai te kai ‘e mate pae ‘ua tō tēia pēpe. hurry up with the food, this baby is absolutely famished. [Per-haps figuratively from pae1.]"
pa‘e,", (-a), v.i. Swerve, turn, change, direction. E pa‘e koe i te vaka i konei, ‘e ma‘ata te kaoa i mua i kō. turn the canoe here, there are a lot of rocks ahead; kua pa‘e ‘aia i te torōka ki te pae i te mataara i te puta‘anga te kiri. he pulled the truck over to the side of the road when the tyre punctured; kua topa te tamaiti ki roto i te tai i te pa‘e‘anga te ‘oro‘enua. the boy fell into the sea when the horse swerved; kua pa‘e ‘aia ki roto i te ‘are toa. he turned into the shop. (See pa‘epa‘e, ‘akapa‘e-(pa‘e), tāpa‘e(pa‘e).) pā‘ei‘ei, n. A handleless scoop net (Mang. dial. = Rar. pokipoki2). [pā-7 ?, ‘ei1 RR.]"
pa‘eke,", v.i. Slip, slide, slope suddenly or steeply downwards. i tōna pa‘eke‘anga ki raro i te ō kua mou tōna piripou ki runga i te aka rākau ē kua nga‘ae. as he was sliding down into the valley he caught his pants on a root and tore them; tē pa‘eke ‘uā ra te vai i tēnā tua i te ō. The water is rushing down that side of the valley; ka ‘oki tāua, ‘e ngā‘i pa‘eke ‘ua tēia. let’s go back, this place is too steep; kua pa‘eke taku puke vaevae ē kua ‘inga au ki raro. my feet went from under me and I fell down. [Pn. *pa-seke.] pā‘eke‘eke, v.i, fq. pa‘eke. Slip, slide steeply. Kua pa‘eke‘eke te maunga ki te kauvai. the mountain sloped steeply down to the river; kua ‘īmene rātou ma te avaava i tō rātou pā‘eke‘eke‘anga mai. they sang out and whooped as they came sliding down. [pa‘eke Rr.]"
